,Lc_x,f0,angle,Peak_Sliding_Left,Peak_Uplift_Left,Peak_Sliding_Bottom,Peak_Uplift_Bottom,Peak_Sliding_Right,Peak_Uplift_Right,PGUx,PGUz,PGVx,PGVz,PGAx,PGAz
37,200,0.5,30,0.0021534464,0.0006602133,0.0060521523,0.003115978,0.0017739796,0.015699437,0.28603235343817346,0.20090402805831786,0.1707873,0.11495781,0.28603235343817346,0.20090402805831786
38,200,0.5,30,0.00065931154,0.0019304419,0.012401237,0.0041681994,0.0031183325,0.028225545,0.16768004192291386,0.14652882486096885,0.13604186,0.08961033,0.16768004192291386,0.14652882486096885
39,200,0.5,30,0.014854199,0.0025353248,0.0087374095,0.026063796,0.026668984,0.031226277,0.308129904011615,0.4324784240589139,0.21070985,0.19032495,0.308129904011615,0.4324784240589139
40,200,1.0,0,0.0032187619,0.0016627229,0.00023404602,0.0031752295,0.0027551812,0.00062261516,0.5723649457788298,0.11439468158773347,0.1605533,0.032379523,0.5723649457788298,0.11439468158773347
41,200,1.0,0,0.0023568848,0.00045709693,0.0004829419,0.004364044,0.004730297,0.004795494,1.2103206791549255,0.3428781524717066,0.28122544,0.04908372,1.2103206791549255,0.3428781524717066
42,200,1.0,0,0.014755805,0.00070781034,0.0007207359,0.01741518,0.01741518,0.007972202,1.5595657641856917,1.001498378012429,0.36413744,0.08819805,1.5595657641856917,1.001498378012429
43,200,1.0,0,0.017299712,0.001034815,0.001034815,0.019481294,0.019481294,0.005523963,1.1078362526158472,1.0182895368700526,0.27640566,0.09002703,1.1078362526158472,1.0182895368700526
44,200,1.0,0,0.0102411555,0.0027125303,0.0027125303,0.015653733,0.016210904,0.008378989,1.4600270852201689,0.726399419621015,0.33752882,0.07815661,1.4600270852201689,0.726399419621015
45,200,1.0,30,0.015541864,0.0041691842,0.0023342543,0.015106627,0.013714172,0.014284132,1.23084950048343,0.8008732673809433,0.21916805,0.118696064,1.23084950048343,0.8008732673809433
46,200,1.0,30,0.004004918,0.0013181003,0.008826612,0.010261537,0.009549677,0.025197024,0.9509987750604836,0.8491352010511974,0.2266597,0.19663489,0.9509987750604836,0.8491352010511974
47,200,1.0,30,0.00039051444,0.0010241469,0.011843091,0.0037984091,0.003555149,0.020238237,0.9164551901457827,0.4399170128752097,0.17541032,0.12212031,0.9164551901457827,0.4399170128752097
48,200,1.0,30,0.012355317,0.00084395637,0.0012902467,0.015811892,0.015811892,0.015997874,0.8945680838792995,1.257493050666021,0.22072372,0.12953605,0.8945680838792995,1.257493050666021
49,200,1.0,30,0.0011563377,0.0008596733,0.0031560443,0.0019229975,0.0017218562,0.011865709,0.8422389264084984,0.556458054370033,0.20313492,0.15606782,0.8422389264084984,0.556458054370033
50,200,2.0,0,0.025169397,0.0021408047,0.0018624014,0.034076322,0.034076322,0.020845462,2.632498673750714,3.78276151164701,0.30916208,0.13387589,2.632498673750714,3.78276151164701
51,200,2.0,0,0.050016694,0.011474003,0.0028108635,0.05002265,0.049500886,0.0150231365,4.054258775013864,2.9413807828475385,0.5303515,0.22353351,4.054258775013864,2.9413807828475385
52,200,2.0,0,0.03897328,0.00462869,0.00462869,0.045489274,0.045513157,0.018721478,4.642884206969157,2.827687116962025,0.40643805,0.16868548,4.642884206969157,2.827687116962025
53,200,2.0,0,0.0036479759,0.0014209041,0.0026125482,0.008553374,0.009546857,0.010652044,3.1850777684206975,1.4802033466193834,0.34703583,0.097481765,3.1850777684206975,1.4802033466193834
54,200,2.0,0,0.025412612,0.008297018,0.008123874,0.04113951,0.043709435,0.026153378,3.5315327106618923,2.813377774076258,0.36782542,0.18439075,3.5315327106618923,2.813377774076258
55,200,2.0,30,0.009266047,0.0016002993,0.0015459525,0.013368388,0.013368388,0.015182923,1.441733025133587,2.5250326064328235,0.31352863,0.32708165,1.441733025133587,2.5250326064328235
56,200,2.0,30,0.004524129,0.002014096,0.0076402854,0.012598427,0.013830867,0.024719704,2.1749127210172254,3.3502106361078106,0.3048076,0.19182129,2.1749127210172254,3.3502106361078106
57,200,2.0,30,0.0007137786,0.0007618122,0.0032474971,0.004166244,0.004166244,0.013129295,0.7888241585267437,1.124078430684257,0.15105624,0.13910063,0.7888241585267437,1.124078430684257
58,200,2.0,30,0.031958926,0.003804098,0.003510873,0.037397545,0.037397545,0.02927801,3.0315785219496085,3.1830719669650307,0.2925597,0.2304069,3.0315785219496085,3.1830719669650307
